sso_id,export_countries,export_commodity_codes
213403,"[{'country_name': 'Italy', 'country_iso2_code': None}]","[{'commodity_code': '080810', 'commodity_name': 'apple'}]"
213411,[],[]
213423,"[{'country_name': 'Iceland', 'country_iso2_code': 'IS'}]","[{'commodity_code': '220300', 'commodity_name': 'gin'}]"
213417,"[{'country_name': 'Netherlands', 'country_iso2_code': 'NL'}]",[]
213426,"[{'country_name': 'South Africa', 'country_iso2_code': 'ZA'}]","[{'commodity_code': '220850', 'commodity_name': 'gin'}]"
213425,"[{'country_name': 'Senegal', 'country_iso2_code': 'SN'}]","[{'commodity_code': '160210', 'commodity_name': 'meat'}]"
213422,[],"[{'commodity_code': '180620', 'commodity_name': 'chocolate'}]"
213431,[],"[{'commodity_code': '040610', 'commodity_name': 'cheese'}]"
213441,"[{'country_name': 'Afghanistan', 'country_iso2_code': 'AF'}]","[{'commodity_code': '152200', 'commodity_name': 'fat, oil, wax and margarine'}]"
213432,"[{'country_name': 'Italy', 'country_iso2_code': None}]",[]
213448,[],"[{'commodity_code': '180690', 'commodity_name': 'chocolate'}]"
213449,"[{'country_name': 'Iran', 'country_iso2_code': 'IR'}]","[{'commodity_code': '330119', 'commodity_name': 'essential oil'}]"
213427,"[{'country_name': 'Jamaica', 'country_iso2_code': None}]","[{'commodity_code': '220850', 'commodity_name': 'gin'}]"
213439,[],"[{'commodity_code': '020220', 'commodity_name': 'beef'}]"
213452,"[{'region': 'China and Hong Kong', 'country_name': 'China', 'country_iso2_code': 'CN'}]","[{'commodity_code': '040610', 'commodity_name': 'cheese'}]"
213453,"[{'region': 'Latin America and Caribbean', 'country_name': 'Jamaica', 'country_iso2_code': 'JM'}]","[{'commodity_code': '500710', 'commodity_name': 'fabric'}]"
213456,[],"[{'commodity_code': '490199', 'commodity_name': 'book'}]"
213458,"[{'region': 'Europe', 'country_name': 'Austria', 'country_iso2_code': 'AT'}]",[]
213460,[],[]
213461,"[{'region': 'Europe', 'country_name': 'Italy', 'country_iso2_code': None}]",[]
213463,[],[]
210565,"[{'region': 'Europe', 'country_name': 'France', 'country_iso2_code': None}]","[{'commodity_code': '070190', 'commodity_name': 'potato'}]"
213469,"[{'region': 'Africa', 'country_name': 'Angola', 'country_iso2_code': 'AO'}]","[{'commodity_code': '220850', 'commodity_name': 'gin'}]"
213465,"[{'region': 'Europe', 'country_name': 'Spain', 'country_iso2_code': None}]",[]
213471,"[{'region': 'Europe', 'country_name': 'Albania', 'country_iso2_code': 'AL'}]","[{'commodity_code': '220850', 'commodity_name': 'gin'}]"
213472,"[{'region': 'Africa', 'country_name': 'Chad', 'country_iso2_code': 'TD'}]","[{'commodity_code': '220850', 'commodity_name': 'gin'}]"
213473,"[{'region': 'Europe', 'country_name': 'Akrotiri', 'country_iso2_code': 'XQZ'}]","[{'commodity_code': '220850', 'commodity_name': 'gin'}]"
213476,"[{'region': 'Asia Pacific', 'country_name': 'Japan', 'country_iso2_code': 'JP'}]","[{'commodity_code': '220830', 'commodity_name': 'whisky'}]"
213477,"[{'region': 'Europe', 'country_name': 'Austria', 'country_iso2_code': 'AT'}]","[{'commodity_code': '220830', 'commodity_name': 'whisky'}]"
213468,"[{'region': 'North America', 'country_name': 'Kingman Reef', 'country_iso2_code': 'UM-89'}]",[]
213466,"[{'region': 'Latin America and Caribbean', 'country_name': 'Jamaica', 'country_iso2_code': None}]",[]
213486,"[{'region': 'Africa', 'country_name': 'South Africa', 'country_iso2_code': 'ZA'}]","[{'commodity_code': '220850', 'commodity_name': 'gin'}]"
213487,"[{'region': 'Africa', 'country_name': 'Mauritius', 'country_iso2_code': 'MU'}]","[{'commodity_code': '010619', 'commodity_name': 'dog'}]"
213489,"[{'region': 'Africa', 'country_name': 'South Africa', 'country_iso2_code': 'ZA'}]","[{'commodity_code': '220300', 'commodity_name': 'alcoholic beer'}]"
213494,"[{'region': 'North America', 'country_name': 'Palmyra Atoll', 'country_iso2_code': 'UM-95'}]",[]
206734,"[{'region': 'Europe', 'country_name': 'Greenland', 'country_iso2_code': 'GL'}]","[{'commodity_code': '090210', 'commodity_name': 'tea'}]"
213637,"[{'region': 'Africa', 'country_name': 'Angola', 'country_iso2_code': 'AO'}]",[]
213638,"[{'region': 'Europe', 'country_name': 'Germany', 'country_iso2_code': 'DE'}]","[{'commodity_code': '701310', 'commodity_name': 'Container'}]"
213639,"[{'region': 'Europe', 'country_name': 'Akrotiri', 'country_iso2_code': 'XQZ'}]",[]
213642,[],[]
213643,"[{'region': 'Africa', 'country_name': 'Angola', 'country_iso2_code': 'AO'}]",[]
213645,"[{'region': 'Europe', 'country_name': 'Netherlands', 'country_iso2_code': 'NL'}]","[{'commodity_code': '040690', 'commodity_name': 'Feta'}]"
213651,[],[]
213502,[],"[{'commodity_code': '090210', 'commodity_name': 'Tea'}]"
213653,"[{'region': 'Eastern Europe and Central Asia', 'country_name': 'Armenia', 'country_iso2_code': 'AM'}]",[]
213654,"[{'region': 'Europe', 'country_name': 'Svalbard and Jan Mayen', 'country_iso2_code': 'SJ'}]",[]
213457,[],"[{'commodity_code': '190220', 'commodity_name': 'Pasta'}]"
213657,"[{'region': 'Eastern Europe and Central Asia', 'country_name': 'Russia', 'country_iso2_code': 'RU'}]","[{'commodity_code': '040690', 'commodity_name': 'Feta'}]"
213663,"[{'region': 'Africa', 'country_name': 'Angola', 'country_iso2_code': 'AO'}]",[]
213666,"[{'region': 'Africa', 'country_name': 'Benin', 'country_iso2_code': 'BJ'}]","[{'commodity_code': '090112', 'commodity_name': 'Coffee'}]"
213656,[],"[{'commodity_code': '210111', 'commodity_name': 'Coffee'}]"
213667,"[{'region': 'Africa', 'country_name': 'Congo (Democratic Republic)', 'country_iso2_code': 'CD'}]","[{'commodity_code': '080810', 'commodity_name': 'Apple'}]"
213668,"[{'region': 'Europe', 'country_name': 'Netherlands', 'country_iso2_code': 'NL'}]","[{'commodity_code': '220850', 'commodity_name': 'Gin'}]"
213675,"[{'region': 'Europe', 'country_name': 'Albania', 'country_iso2_code': 'AL'}]",[]
213676,"[{'region': 'China and Hong Kong', 'country_name': 'China', 'country_iso2_code': 'CN'}]",[]
213678,"[{'region': 'Europe', 'country_name': 'Belgium', 'country_iso2_code': 'BE'}]","[{'commodity_code': '220850', 'commodity_name': 'Gin'}]"
213681,"[{'region': 'Europe', 'country_name': 'Italy', 'country_iso2_code': 'IT'}]","[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
213682,"[{'region': 'Africa', 'country_name': 'Algeria', 'country_iso2_code': 'DZ'}]",[]
203931,"[{'region': 'Europe', 'country_name': 'France', 'country_iso2_code': 'FR'}]","[{'commodity_code': '220850', 'commodity_name': 'gin'}]"
213679,"[{'region': 'Eastern Europe and Central Asia', 'country_name': 'Russia', 'country_iso2_code': 'RU'}]","[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
